Date,BTC,Energy,GPR,,,
2022/05/13,1.956086656,-0.637454193,2.457116781,,,
2022/05/14,1.990426552,-0.666634343,1.935551779,,,
2022/05/15,1.727939987,-0.694839612,2.193771826,,,
2022/05/16,1.345821048,-0.717846204,1.60074124,,,
2022/05/17,1.339014444,-0.798769146,1.610262061,,,
2022/05/18,1.021466578,-0.931455471,1.762766177,,,
2022/05/19,0.708178856,-0.92728196,1.762890808,,,
2022/05/20,0.532465211,-0.922854932,1.755594378,,,
2022/05/21,0.581174821,-0.807729807,1.919117408,,,
2022/05/22,0.518515392,-0.676584644,2.090957007,,,
2022/05/23,0.333130854,-0.635176912,1.989970737,,,
2022/05/24,0.289962177,-0.552951324,2.666003243,,,
2022/05/25,0.36124401,-0.598268393,0.176342961,,,
2022/05/26,0.691919151,-0.672220554,0.379056524,,,
2022/05/27,0.739666619,-0.662428877,0.382012754,,,
2022/05/28,0.760559253,-0.476427874,0.276157044,,,
2022/05/29,0.817639446,-0.329405253,0.085810727,,,
2022/05/30,0.456920046,-0.328948289,-0.087829984,,,
2022/05/31,0.505841874,-0.434132852,-0.454800949,,,
2022/06/01,0.17279409,-0.463165875,-0.326547627,,,
2022/06/02,0.165140319,-0.250232006,-0.132206609,,,
2022/06/03,0.325566071,-0.289447898,-0.129935837,,,
2022/06/04,0.733052457,-0.167064977,-0.249748518,,,
2022/06/05,0.76478651,0.117912741,-0.368557495,,,
2022/06/06,0.525960397,0.477658985,0.271105509,,,
2022/06/07,0.733668961,0.479822494,0.1434284,,,
2022/06/08,-0.431114494,0.906062896,0.349342295,,,
2022/06/09,-0.359001642,0.487257251,0.24602678,,,
2022/06/10,-0.367173324,0.414266634,0.24901473,,,
2022/06/11,-0.454520481,0.258644547,0.252435431,,,
2022/06/12,-0.637932938,-0.399960399,0.187838935,,,
2022/06/13,4.110643166,-0.532404209,0.220075675,,,
2022/06/14,4.402593583,-0.472300441,0.219439673,,,
2022/06/15,4.837654083,-0.590214978,0.475795442,,,
2022/06/16,3.42838514,2.245805795,0.418089056,,,
2022/06/17,3.989778221,2.789113038,0.384168883,,,
2022/06/18,3.630803998,2.783124297,0.345884754,,,
2022/06/19,3.027102705,2.79826554,0.06174667,,,
2022/06/20,3.036161787,2.882533884,-0.190413083,,,
2022/06/21,3.170996108,2.02984859,0.044960562,,,
2022/06/22,3.236098922,1.381833068,0.38249433,,,
2022/06/23,2.878992685,0.866814366,0.564075315,,,
2022/06/24,2.873295419,0.843895626,0.783386368,,,
2022/06/25,2.864299989,0.887057687,0.750549674,,,
2022/06/26,2.862721173,0.914951956,0.4547726,,,
2022/06/27,2.839831913,0.873269057,0.231341152,,,
2022/06/28,2.836537127,0.609768055,0.250404519,,,
2022/06/29,3.580142709,0.357333695,0.474483704,,,
2022/06/30,3.53476232,0.294762631,0.819091047,,,
2022/07/01,4.106946788,0.311567435,0.609970677,,,
2022/07/02,4.207648835,0.305827182,0.263639289,,,
2022/07/03,4.340786519,0.334753975,-0.056089236,,,
2022/07/04,3.913595057,0.3275392,-0.000713143,,,
2022/07/05,3.913980634,0.09150836,0.041459908,,,
2022/07/06,4.288339465,-0.0602362,-0.000796778,,,
2022/07/07,3.800027647,-0.148485865,-0.090541999,,,
2022/07/08,3.975773797,-0.14537244,-0.136827956,,,
2022/07/09,3.969858253,-0.00915283,-0.238681513,,,
2022/07/10,3.973253407,0.142955021,-0.426414465,,,
2022/07/11,3.745572316,0.222890884,-0.26455188,,,
2022/07/12,4.136562091,0.176422607,-0.225069264,,,
2022/07/13,0.825119021,0.268753603,-0.181130006,,,
2022/07/14,0.79808366,0.082506765,-0.184993059,,,
2022/07/15,0.816403365,0.023010207,-0.164531735,,,
2022/07/16,0.249044891,0.240577849,-0.360566964,,,
2022/07/17,0.17699838,0.175127749,-0.344649423,,,
2022/07/18,0.300301553,0.14832693,-0.352474933,,,
